-0.02  -0.02  0  0 	0 	0 	0 	0 	0 	
-0.018  -0.02  0  0 	0 	0 	0 	0 	0 	
-0.016  -0.02  0  0 	0 	0 	0 	0 	0 	
-0.014  -0.02  0  0 	0 	0 	0 	0 	0 	
-0.012  -0.02  0  0 	0 	0 	0 	0 	0 	
-0.01  -0.02  0  0 	0 	0 	0 	0 	0 	
-0.008  -0.02  0  0 	0 	0 	0 	0 	0 	
-0.006  -0.02  0  0 	0 	0 	0 	0 	0 	
-0.004  -0.02  0  0 	0 	0 	0 	0 	0 	
-0.002  -0.02  0  0 	0 	0 	0 	0 	0 	
0  -0.02  0  0 	0 	0 	0 	0 	0 	
0.002  -0.02  0  0 	0 	0 	0 	0 	0 	
0.004  -0.02  0  0 	0 	0 	0 	0 	0 	
0.006  -0.02  0  0 	0 	0 	0 	0 	0 	
0.008  -0.02  0  0 	0 	0 	0 	0 	0 	
0.01  -0.02  0  0 	0 	0 	0 	0 	0 	
0.012  -0.02  0  0 	0 	0 	0 	0 	0 	
0.014  -0.02  0  0 	0 	0 	0 	0 	0 	
0.016  -0.02  0  0 	0 	0 	0 	0 	0 	
0.018  -0.02  0  0 	0 	0 	0 	0 	0 	
0.02  -0.02  0  0 	0 	0 	0 	0 	0 	
-0.02  -0.018  0  0 	0 	0 	0 	0 	0 	
-0.018  -0.018  0  0 	0 	0 	0 	0 	0 	
-0.016  -0.018  0  0 	0 	0 	0 	0 	0 	
-0.014  -0.018  0  0 	0 	0 	0 	0 	0 	
-0.012  -0.018  0  0 	0 	0 	0 	0 	0 	
-0.01  -0.018  0  0 	0 	0 	0 	0 	0 	
-0.008  -0.018  0  0 	-4251.65 	0 	0 	0 	0 	
-0.006  -0.018  0  0 	-6745.95 	0 	0 	0 	0 	
-0.004  -0.018  0  0 	-7539.65 	0 	0 	0 	0 	
-0.002  -0.018  0  0 	-7290.48 	0 	0 	0 	0 	
0  -0.018  0  0 	-7723.14 	0 	0 	0 	0 	
0.002  -0.018  0  0 	-7290.48 	0 	0 	0 	0 	
0.004  -0.018  0  0 	-7539.65 	0 	0 	0 	0 	
0.006  -0.018  0  0 	-6745.95 	0 	0 	0 	0 	
0.008  -0.018  0  0 	-4251.65 	0 	0 	0 	0 	
0.01  -0.018  0  0 	0 	0 	0 	0 	0 	
0.012  -0.018  0  0 	0 	0 	0 	0 	0 	
0.014  -0.018  0  0 	0 	0 	0 	0 	0 	
0.016  -0.018  0  0 	0 	0 	0 	0 	0 	
0.018  -0.018  0  0 	0 	0 	0 	0 	0 	
0.02  -0.018  0  0 	0 	0 	0 	0 	0 	
